d,agent_energy0,pred_energy0,arm,n,captures,energy_deaths,censored_alive_at_10s,pred_sleep_before_agent_death,distinct_trajectories_norng,capture_time_uncensored_n,capture_time_uncensored_mean,capture_time_uncensored_std,capture_time_uncensored_median,capture_time_uncensored_min,capture_time_uncensored_max,min_separation_n,min_separation_mean,min_separation_std,min_separation_median,min_separation_min,min_separation_max,time_chase_n,time_chase_mean,time_chase_std,time_chase_median,time_chase_min,time_chase_max,time_circle_n,time_circle_mean,time_circle_std,time_circle_median,time_circle_min,time_circle_max,time_no_target_n,time_no_target_mean,time_no_target_std,time_no_target_median,time_no_target_min,time_no_target_max,time_sleep_n,time_sleep_mean,time_sleep_std,time_sleep_median,time_sleep_min,time_sleep_max,agent_turn_cost_n,agent_turn_cost_mean,agent_turn_cost_std,agent_turn_cost_median,agent_turn_cost_min,agent_turn_cost_max,agent_move_cost_n,agent_move_cost_mean,agent_move_cost_std,agent_move_cost_median,agent_move_cost_min,agent_move_cost_max,final_agent_energy_survivors_n,final_agent_energy_survivors_mean,final_agent_energy_survivors_std,final_agent_energy_survivors_median,final_agent_energy_survivors_min,final_agent_energy_survivors_max,final_separation_survivors_n,final_separation_survivors_mean,final_separation_survivors_std,final_separation_survivors_median,final_separation_survivors_min,final_separation_survivors_max
120,150,101,F15,3,3,0,0,0,1,3,9.5,0.0,9.5,9.5,9.5,3,14.0,0.0,14.0,14.0,14.0,3,6.5,0.0,6.5,6.5,6.5,3,3.0,0.0,3.0,3.0,3.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,90.0,0.0,90.0,90.0,90.0,0,,,,,,0,,,,,
120,150,101,A20,3,0,0,3,3,1,0,,,,,,3,17.0,0.0,17.0,17.0,17.0,3,9.7,0.0,9.7,9.7,9.7,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.3,0.0,0.3,0.3,0.3,3,0.5,0.0,0.5,0.5,0.5,3,95.0,0.0,95.0,95.0,95.0,3,44.500000000000334,0.0,44.500000000000334,44.500000000000334,44.500000000000334,3,47.0,0.0,47.0,47.0,47.0
120,150,101,F20,3,0,0,3,3,1,0,,,,,,3,17.0,0.0,17.0,17.0,17.0,3,6.2,0.0,6.2,6.2,6.2,3,3.5,0.0,3.5,3.5,3.5,3,0.0,0.0,0.0,0.0,0.0,3,0.3,0.0,0.3,0.3,0.3,3,0.0,0.0,0.0,0.0,0.0,3,95.0,0.0,95.0,95.0,95.0,3,45.00000000000034,0.0,45.00000000000034,45.00000000000034,45.00000000000034,3,47.0,0.0,47.0,47.0,47.0
120,150,200,S0,3,3,0,0,0,1,3,0.8,0.0,0.8,0.8,0.8,3,0.0,0.0,0.0,0.0,0.0,3,0.5,0.0,0.5,0.5,0.5,3,0.3,0.0,0.3,0.3,0.3,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,
120,150,200,A10,3,3,0,0,0,1,3,2.2,0.0,2.2,2.2,2.2,3,10.0,0.0,10.0,10.0,10.0,3,2.2,0.0,2.2,2.2,2.2,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.5,0.0,0.5,0.5,0.5,3,11.0,0.0,11.0,11.0,11.0,0,,,,,,0,,,,,
120,150,200,F10,3,3,0,0,0,1,3,2.2,0.0,2.2,2.2,2.2,3,10.0,0.0,10.0,10.0,10.0,3,1.3,0.0,1.3,1.3,1.3,3,0.9,0.0,0.9,0.9,0.9,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,11.0,0.0,11.0,11.0,11.0,0,,,,,,0,,,,,
120,150,200,A15,3,3,0,0,0,1,3,3.8,0.0,3.8,3.8,3.8,3,10.0,0.0,10.0,10.0,10.0,3,3.8,0.0,3.8,3.8,3.8,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.5,0.0,0.5,0.5,0.5,3,59.0,0.0,59.0,59.0,59.0,0,,,,,,0,,,,,
120,150,200,F15,3,3,0,0,0,1,3,3.9,0.0,3.9,3.9,3.9,3,10.0,0.0,10.0,10.0,10.0,3,1.3,0.0,1.3,1.3,1.3,3,2.6,0.0,2.6,2.6,2.6,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,62.0,0.0,62.0,62.0,62.0,0,,,,,,0,,,,,
120,150,200,A20,3,3,0,0,0,1,3,4.0,0.0,4.0,4.0,4.0,3,10.0,0.0,10.0,10.0,10.0,3,4.0,0.0,4.0,4.0,4.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.5,0.0,0.5,0.5,0.5,3,65.0,0.0,65.0,65.0,65.0,0,,,,,,0,,,,,
120,150,200,F20,3,3,0,0,0,1,3,4.0,0.0,4.0,4.0,4.0,3,10.0,0.0,10.0,10.0,10.0,3,1.3,0.0,1.3,1.3,1.3,3,2.7,0.0,2.7,2.7,2.7,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,65.0,0.0,65.0,65.0,65.0,0,,,,,,0,,,,,
120,300,101,S0,3,3,0,0,0,1,3,0.8,0.0,0.8,0.8,0.8,3,0.0,0.0,0.0,0.0,0.0,3,0.5,0.0,0.5,0.5,0.5,3,0.3,0.0,0.3,0.3,0.3,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,
120,300,101,A10,3,3,0,0,0,1,3,2.2,0.0,2.2,2.2,2.2,3,10.0,0.0,10.0,10.0,10.0,3,2.2,0.0,2.2,2.2,2.2,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.5,0.0,0.5,0.5,0.5,3,11.0,0.0,11.0,11.0,11.0,0,,,,,,0,,,,,
120,300,101,F10,3,3,0,0,0,1,3,2.2,0.0,2.2,2.2,2.2,3,10.0,0.0,10.0,10.0,10.0,3,1.3,0.0,1.3,1.3,1.3,3,0.9,0.0,0.9,0.9,0.9,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,11.0,0.0,11.0,11.0,11.0,0,,,,,,0,,,,,
120,300,101,A15,3,0,0,3,3,3,0,,,,,,3,120.0,0.0,120.0,120.0,120.0,3,5.3,0.0,5.3,5.3,5.3,3,0.0,0.0,0.0,0.0,0.0,3,4.3,0.0,4.3,4.3,4.3,3,0.4,0.0,0.4,0.4,0.4,3,0.5,0.0,0.5,0.5,0.5,3,212.5,0.0,212.5,212.5,212.5,3,77.00000000000017,0.0,77.00000000000017,77.00000000000017,77.00000000000017,3,319.50845453363627,14.986054007003508,324.6142783363097,302.63668313955833,331.2744021250408
120,300,101,F15,3,0,0,3,3,3,0,,,,,,3,120.0,0.0,120.0,120.0,120.0,3,0.0,0.0,0.0,0.0,0.0,3,5.3,0.0,5.3,5.3,5.3,3,4.3,0.0,4.3,4.3,4.3,3,0.4,0.0,0.4,0.4,0.4,3,0.0,0.0,0.0,0.0,0.0,3,212.5,0.0,212.5,212.5,212.5,3,77.50000000000017,0.0,77.50000000000017,77.50000000000017,77.50000000000017,3,319.50845453363627,14.986054007003508,324.6142783363097,302.63668313955833,331.2744021250408
120,300,101,A20,3,0,0,3,0,3,0,,,,,,3,120.0,0.0,120.0,120.0,120.0,3,2.2,0.0,2.2,2.2,2.2,3,0.0,0.0,0.0,0.0,0.0,3,7.8,0.0,7.8,7.8,7.8,3,0.0,0.0,0.0,0.0,0.0,3,0.5,0.0,0.5,0.5,0.5,3,230.0,0.0,230.0,230.0,230.0,3,59.50000000000031,0.0,59.50000000000031,59.50000000000031,59.50000000000031,3,355.2397174335875,70.03650213033265,327.6225360640269,303.2221727270759,434.8744435096596
120,300,101,F20,3,0,0,3,0,3,0,,,,,,3,120.0,0.0,120.0,120.0,120.0,3,0.0,0.0,0.0,0.0,0.0,3,2.2,0.0,2.2,2.2,2.2,3,7.8,0.0,7.8,7.8,7.8,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,230.0,0.0,230.0,230.0,230.0,3,60.00000000000032,0.0,60.00000000000032,60.00000000000032,60.00000000000032,3,355.2397174335875,70.03650213033265,327.6225360640269,303.2221727270759,434.8744435096596
120,300,200,S0,3,3,0,0,0,1,3,0.8,0.0,0.8,0.8,0.8,3,0.0,0.0,0.0,0.0,0.0,3,0.5,0.0,0.5,0.5,0.5,3,0.3,0.0,0.3,0.3,0.3,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,
